Name;Phone;Email;Website;Address;
The Dolder Grand;https://tel.search.ch/zuerich/kurhausstrasse-65/the-dolder-grand;044 456 60 00 *;;;Kurhausstrasse 65, 8032 Zürich
Grand Hotel Quellenhof & Spa Suites;https://tel.search.ch/bad-ragaz/bernhard-simonstrasse/grand-hotel-quellenhof-spa-suites;081 303 30 30 *;;;Bernhard-Simonstrasse, 7310 Bad Ragaz/SG
Grand Resort Bad Ragaz AG;https://tel.search.ch/bad-ragaz/bernhard-simonstrasse/grand-resort-bad-ragaz-ag-2;081 303 30 30 *;;;Bernhard-Simonstrasse, 7310 Bad Ragaz/SG
Säntis Schwebebahn AG;https://tel.search.ch/urnaesch/schwaegalp/saentis-schwebebahn-ag;071 365 65 65 *;;;Schwägalp, 9107 Urnäsch/AR
Seerose Resort & Spa;https://tel.search.ch/meisterschwanden/seerosenstrasse-1/seerose-resort-spa;056 676 68 68 *;;;Seerosenstrasse 1, 5616 Meisterschwanden/AG
Hotel Seedamm Plaza;https://tel.search.ch/pfaeffikon/seedammstrasse-3/hotel-seedamm-plaza;055 417 17 17 *;;;Seedammstrasse 3, 8808 Pfäffikon/SZ
Swiss Holiday Park;https://tel.search.ch/morschach/-/swiss-holiday-park-morschach;041 825 50 50 *;;;6443 Morschach/SZ
Nippon Sun Seedamm Plaza;https://tel.search.ch/pfaeffikon/seedammstrasse-3/nippon-sun-seedamm-plaza-2;055 417 17 17 *;;;Seedammstrasse 3, 8808 Pfäffikon/SZ
Swiss Holiday Park;https://tel.search.ch/morschach/dorfstrasse-10/swiss-holiday-park-2;041 825 50 50 *;;;Dorfstrasse 10, 6443 Morschach/SZ
Widder Hotel;https://tel.search.ch/zuerich/rennweg-7/widder-hotel;044 224 25 26 *;;;Rennweg 7, 8001 Zürich
Hotel Bad Horn AG;https://tel.search.ch/horn/seestrasse-36/hotel-bad-horn-ag;071 844 51 51 *;;;Seestrasse 36, 9326 Horn/TG
Hotel Beaulac;https://tel.search.ch/neuchatel/quai-leopold-robert-2/hotel-beaulac;032 723 11 11 *;;;Quai Léopold-Robert 2, 2000 Neuchâtel
Hotel Schweizerhof;https://tel.search.ch/lenzerheide-lai/voa-principala-39/hotel-schweizerhof-4;081 385 25 25;;;Voa Principala 39, 7078 Lenzerheide/Lai/GR
Landgasthof Seelust AG;https://tel.search.ch/egnach/wiedehorn/landgasthof-seelust-ag;071 474 75 75 *;;;Wiedehorn, 9322 Egnach/TG
The Steakhouse;https://tel.search.ch/lachen/hafenstrasse-4/the-steakhouse;055 451 73 73 *;;;Hafenstrasse 4, 8853 Lachen/SZ
Hotel Restaurant Vogelsang;https://tel.search.ch/eich/vogelsang-2/hotel-restaurant-vogelsang;041 462 66 66 *;;;Vogelsang 2, 6205 Eich/LU
Eden Roc;https://tel.search.ch/ascona/via-albarelle-16/eden-roc;091 785 71 71 *;;;via Albarelle 16, 6612 Ascona/TI
Schweizerhof Luzern Hotel;https://tel.search.ch/luzern/schweizerhofquai-3a/schweizerhof-luzern-hotel;041 410 04 10;;;Schweizerhofquai 3a, 6004 Luzern
Seminar- und Wellnesshotel Stoos;https://tel.search.ch/stoos/ringstrasse-10/seminar-und-wellnesshotel-stoos;041 817 44 44 *;;;Ringstrasse 10, 6433 Stoos/SZ
Hotel UTO KULM AG Top of Zürich;https://tel.search.ch/uetliberg/-/uto-kulm;044 457 66 66 *;;;Top of Zürich, 8143 Uetliberg/ZH
Die Cinema 8 AG;https://tel.search.ch/schoeftland/feldackerstrasse-1/die-cinema-8-ag;062 888 14 88 *;;;Feldackerstrasse 1, 5040 Schöftland/AG
Säntispark;https://tel.search.ch/abtwil/wiesenbachstrasse-5/saentispark;071 313 11 11 *;;;Wiesenbachstrasse 5, 9030 Abtwil/SG
Sonnmatt Luzern AG;https://tel.search.ch/luzern/hemschlenstrasse/sonnmatt-luzern-ag;041 375 32 32;;;Hemschlenstrasse, 6006 Luzern
Bad Bubendorf Hotel;https://tel.search.ch/bubendorf/kantonsstrasse-3/bad-bubendorf-hotel;061 935 55 55 *;;;Kantonsstrasse 3, 4416 Bubendorf/BL
ROMANTIK SEEHOTEL SONNE;https://tel.search.ch/kuesnacht/seestrasse-120/romantik-seehotel-sonne;044 914 18 18 *;;;Seestrasse 120, 8700 Küsnacht/ZH
Crowne Plaza Zurich;https://tel.search.ch/zuerich/badenerstrasse-420/crowne-plaza-zurich;044 404 44 44 *;;;Badenerstrasse 420, 8004 Zürich
Des Balances;https://tel.search.ch/luzern/metzgerrainle-7/des-balances;041 418 28 28;;;Metzgerrainle 7, 6004 Luzern
Hotel Crowne Plaza Zurich;https://tel.search.ch/zuerich/badenerstrasse-420/hotel-crowne-plaza-zurich;044 404 44 44 *;;;Badenerstrasse 420, 8004 Zürich
Lenkerhof gourmet spa resort;https://tel.search.ch/lenk-im-simmental/badstrasse-20/lenkerhof-gourmet-spa-resort;033 736 36 36 *;;;Badstrasse 20, 3775 Lenk im Simmental/BE
Rössli;https://tel.search.ch/illnau/kempttalstrasse-52/roessli-2;052 235 26 62;;;Kempttalstrasse 52, 8308 Illnau/ZH
Hotel Jagd-Schloss  ****Garni;https://tel.search.ch/merlischachen/rebmattweg-23/hotel-jagd-schloss-garni;041 854 54 54 *;;;Rebmattweg 23, 6402 Merlischachen/SZ
Hotel Linde Fislisbach;https://tel.search.ch/fislisbach/niederrohrdorferstrasse-1/hotel-linde-fislisbach;056 493 12 80;;;Niederrohrdorferstrasse 1, 5442 Fislisbach/AG
Schloss-Hotel ****;https://tel.search.ch/merlischachen/chappelmattweg-4/schloss-hotel;041 854 54 54 *;;;Chappelmattweg 4, 6402 Merlischachen/SZ
Seehotel Hermitage Luzern;https://tel.search.ch/luzern/seeburgstrasse-72/seehotel-hermitage-luzern;041 375 81 81 *;;;Seeburgstrasse 72, 6006 Luzern
Swiss-Chalet Merlischachen AG;https://tel.search.ch/merlischachen/luzernerstrasse-204/swiss-chalet-merlischachen-ag;041 854 54 54;;;Luzernerstrasse 204, 6402 Merlischachen/SZ
Leuen;https://tel.search.ch/uitikon-waldegg/birmensdorferstrasse-56/leuen;044 406 15 00;;;Birmensdorferstrasse 56, 8142 Uitikon Waldegg/ZH
Hotel Waldhaus;https://tel.search.ch/sils-segl-maria/hotel-waldhaus/hotel-waldhaus;081 838 51 00 *;;;Hotel Waldhaus, 7514 Sils/Segl Maria/GR
Schäfli;https://tel.search.ch/siebnen/glarnerstrasse-59/schaefli;055 440 84 36 *;;;Glarnerstrasse 59, 8854 Siebnen/SZ
Hirschen am See;https://tel.search.ch/meilen/seestrasse-856/hirschen-am-see;044 925 05 00 *;;;Seestrasse 856, 8706 Meilen/ZH
Park Weggis;https://tel.search.ch/weggis/hertensteinstrasse-34/park-weggis-2;041 392 05 05 *;;;Hertensteinstrasse 34, 6353 Weggis/LU
Park Weggis;https://tel.search.ch/weggis/hertensteinstrasse-34/park-weggis;041 392 05 05 *;;;Hertensteinstrasse 34, 6353 Weggis/LU
Stern;https://tel.search.ch/chur/reichsgasse-11/stern;081 258 57 57;;;Reichsgasse 11, 7000 Chur
Unique Hotel Post Zermatt;https://tel.search.ch/zermatt/bahnhofstrasse-41/unique-hotel-post-zermatt;027 967 19 31;;;Bahnhofstrasse 41, 3920 Zermatt/VS
Hotel Krone ****;https://tel.search.ch/lenzburg/kronenplatz-18-20/otto-gerber;062 886 65 65 *;;;Kronenplatz 18/20, 5600 Lenzburg/AG
Sonne Seehotel;https://tel.search.ch/eich/seestrasse-23/sonne-seehotel;041 202 01 01 *;;;Seestrasse 23, 6205 Eich/LU
Wellness & Spa Hotel Beatus Merligen;https://tel.search.ch/merligen/seestrasse-300/hotel-beatus;033 252 81 81 *;;;Seestrasse 300, 3658 Merligen/BE
Guarda Val;https://tel.search.ch/lenzerheide-lai/voa-sporz-85/guarda-val;081 385 85 85 *;;;Voa Sporz 85, 7078 Lenzerheide/Lai/GR
Hotel Heiden;https://tel.search.ch/heiden/seeallee-8/hotel-heiden;071 898 15 15;;;Seeallee 8, 9410 Heiden/AR
Hotel Valbella Inn AG;https://tel.search.ch/valbella/voa-selva/hotel-valbella-inn-ag;081 385 08 08;;;Voa Selva, 7077 Valbella/GR
Hotel Villa Honegg;https://tel.search.ch/ennetbuergen/-/hotel-villa-honegg;041 618 32 00 *;;;Honegg, 6373 Ennetbürgen/NW
Tschuggen Grand Hotel*****;https://tel.search.ch/arosa/-/tschuggen-grand-hotel-2;081 378 99 99 *;;;7050 Arosa/GR
Goldenes Kreuz;https://tel.search.ch/frauenfeld/zuercherstrasse-134/goldenes-kreuz;052 725 01 10;;;Zürcherstrasse 134, 8500 Frauenfeld/TG
Seehotel Schiff AG;https://tel.search.ch/mannenbach-salenstein/seestrasse-4/seehotel-schiff-ag;071 663 41 41;;;Seestrasse 4, 8268 Mannenbach-Salenstein/TG
Seehotel Wilerbad;https://tel.search.ch/wilen/wilerbadstrasse-6/seehotel-wilerbad;041 662 70 70 *;;;Wilerbadstrasse 6, 6062 Wilen (Sarnen)/OW
Titlis-Rotair;https://tel.search.ch/engelberg/gerschnistrasse-12/titlis-rotair;041 639 50 50;;;Gerschnistrasse 12, 6390 Engelberg/OW
Arosa Kulm Hotel  & Alpin Spa;https://tel.search.ch/arosa/innere-poststrasse/arosa-kulm-hotel-alpin-spa;081 378 88 88 *;;;Innere Poststrasse, 7050 Arosa/GR
City-Hotel Ochsen Zug;https://tel.search.ch/zug/kolinplatz-11/city-hotel-ochsen-zug;041 729 32 32 *;;;Kolinplatz 11, 6300 Zug
Hotel Allegro Bern AG;https://tel.search.ch/bern/kornhausstrasse-3/hotel-allegro-bern-ag;031 339 55 00 *;;;Kornhausstrasse 3, 3013 Bern
Kursaal Bern;https://tel.search.ch/bern/kornhausstrasse-3/kursaal-bern;031 339 55 00 *;;;Kornhausstrasse 3, 3013 Bern
Pfändler's Gasthof zum Bären GmbH;https://tel.search.ch/birmenstorf/kirchstrasse-7/pfaendlers-gasthof-zum-baeren-gmbh;056 201 44 00 *;;;Kirchstrasse 7, 5413 Birmenstorf/AG
Restaurant Hotel Seeblick;https://tel.search.ch/moerigen/hauptstrasse-2/restaurant-hotel-seeblick;032 397 07 07 *;;;Hauptstrasse 2, 2572 Mörigen/BE
Hof Weissbad;https://tel.search.ch/weissbad/im-park-1/hof-weissbad-2;071 798 80 80 *;;;Im Park 1, 9057 Weissbad/AI
Hof Weissbad;https://tel.search.ch/weissbad/im-park-1/hof-weissbad;071 798 80 80 *;;;Im Park 1, 9057 Weissbad/AI
Panorama Resort & Spa;https://tel.search.ch/feusisberg/schoenfelsstrasse/panorama-resort-spa;044 786 00 00 *;;;Schönfelsstrasse, 8835 Feusisberg/SZ
Arte Konferenzzentrum AG;https://tel.search.ch/olten/riggenbachstrasse-10/arte-konferenzzentrum-ag-3;062 286 68 00 *;;;Riggenbachstrasse 10, 4600 Olten/SO
Hotel Restaurant Seemöwe AG;https://tel.search.ch/guettingen/hauptstrasse-54/hotel-restaurant-seemoewe-ag;071 695 10 10 *;;;Hauptstrasse 54, 8594 Güttingen/TG
Bad Ramsach Quellhotel;https://tel.search.ch/laeufelfingen/-/bad-ramsach-quellhotel;062 285 15 15 *;;;Bad Ramsach Quellhotel, 4448 Läufelfingen/BL
Eisenbahn;https://tel.search.ch/weinfelden/bahnhofstrasse-2/eisenbahn;071 622 10 60 *;;;Bahnhofstrasse 2, 8570 Weinfelden/TG
Hotel Alexander;https://tel.search.ch/weggis/hertensteinstrasse-42/hotel-alexander;041 392 22 22;;;Hertensteinstrasse 42, 6353 Weggis/LU
Hotel Florida;https://tel.search.ch/studen/aareweg-25/hotel-florida-4;032 374 28 28 *;;;Aareweg 25, 2557 Studen/BE
Hotel Laudinella;https://tel.search.ch/st-moritz/via-tegiatscha-17/hotel-laudinella-2;081 836 00 00 *;;;Via Tegiatscha 17, 7500 St. Moritz/GR
Hotel Lenzerhorn Spa & Wellness AG;https://tel.search.ch/lenzerheide-lai/voa-principala-41/hotel-lenzerhorn-spa-wellness-ag;081 385 86 87;;;Voa Principala 41, 7078 Lenzerheide/Lai/GR
Hotel Royal Savoy Lausanne;https://tel.search.ch/lausanne/avenue-douchy-40/hotel-royal-savoy-lausanne;021 614 88 88 *;;;avenue d'Ouchy 40, 1006 Lausanne
Parkresort  Rheinfelden Holding AG;https://tel.search.ch/rheinfelden/roberstenstrasse-31/parkresort-rheinfelden-holding-ag;061 836 66 11 *;;;Roberstenstrasse 31, 4310 Rheinfelden/AG
SeminarHotel am Ägerisee;https://tel.search.ch/unteraegeri/seestrasse-10/seminarhotel-am-aegerisee;041 754 61 61 *;;;Seestrasse 10, 6314 Unterägeri/ZG
Baur au Lac;https://tel.search.ch/zuerich/talstrasse-1/baur-au-lac;044 220 50 20;;;Talstrasse 1, 8001 Zürich
Alpenhof Hotel;https://tel.search.ch/zermatt/matterstrasse-43/alpenhof-hotel-2;027 966 55 55;;;Matterstrasse 43, 3920 Zermatt/VS
Eichberg Seengen AG;https://tel.search.ch/seengen/eichberg-38/eichberg-seengen-ag;062 767 99 99;;;Eichberg 38, 5707 Seengen/AG
Einstein Congress Hotel Spa;https://tel.search.ch/st-gallen/berneggstrasse-2/einstein-congress-hotel-spa;071 227 55 55 *;;;Berneggstrasse 2, 9000 St. Gallen
Hotel Continental-Park;https://tel.search.ch/luzern/murbacherstrasse-4/hotel-continental-park-2;041 228 90 50 *;;;Murbacherstrasse 4, 6003 Luzern
Hotel Heinrüti-Rank AG;https://tel.search.ch/widen/wolfeggstrasse-1/hotel-heinrueti-rank-ag;056 633 22 88 *;;;Wolfeggstrasse 1, 8967 Widen/AG
Hotel Ochsen und Lodge;https://tel.search.ch/lenzburg/burghaldenstrasse-33/hotel-ochsen-und-lodge;062 886 40 80 *;;;Burghaldenstrasse 33, 5600 Lenzburg/AG
Innere Enge;https://tel.search.ch/bern/engestrasse-54/innere-enge-3;031 309 61 11;;;Engestrasse 54, 3012 Bern
Panoramahotel Säntisblick;https://tel.search.ch/abtwil/grimm/panoramahotel-saentisblick;071 313 25 25 *;;;Grimm, 9030 Abtwil/SG
Seefeld;https://tel.search.ch/hurden/seedammstrasse-45/seefeld;055 410 34 20;;;Seedammstrasse 45, 8640 Hurden/SZ
STC SWITZERLAND TRAVEL CENTRE AG;https://tel.search.ch/zuerich/binzstrasse-38/stc-switzerland-travel-centre-ag;043 210 55 00 *;;;Binzstrasse 38, 8045 Zürich
The Cambrian;https://tel.search.ch/adelboden/dorfstrasse-7/the-cambrian;033 673 83 83 *;;;Dorfstrasse 7, 3715 Adelboden/BE
THE OMNIA AG;https://tel.search.ch/zermatt/-/the-omnia-ag;027 966 71 71;;;Auf dem Fels, 3920 Zermatt/VS
Gasthof Schiff;https://tel.search.ch/mammern/seestrasse-3/gasthof-schiff;052 741 24 44 *;;;Seestrasse 3, 8265 Mammern/TG
Hotel Engel ****;https://tel.search.ch/liestal/kasernenstrasse-10/hotel-engel-2;061 927 80 80 *;;;Kasernenstrasse 10, 4410 Liestal/BL
Hotel-Landgasthof Wassberg - Restaurant;https://tel.search.ch/forch/wassbergstrasse-62/hotel-landgasthof-wassberg-restaurant;043 366 20 40 *;;;Wassbergstrasse 62, 8127 Forch/ZH
Parkhotel Bellevue & Spa;https://tel.search.ch/adelboden/bellevuestrasse-15/parkhotel-bellevue-spa;033 673 80 00 *;;;Bellevuestrasse 15, 3715 Adelboden/BE
Adler;https://tel.search.ch/grueningen/binziker-strasse-80/adler;044 935 11 54 *;;;Binziker-Strasse 80, 8627 Grüningen/ZH
Backstage Hotel Vernissage;https://tel.search.ch/zermatt/hofmattstrasse-4/backstage-hotel-vernissage;027 966 69 70 *;;;Hofmattstrasse 4, 3920 Zermatt/VS
Bel-Air;https://tel.search.ch/praz/route-principale-145/bel-air;026 673 14 14;;;route Principale 145, 1788 Praz (Vully)/FR
Freienhof Thun AG;https://tel.search.ch/thun/freienhofgasse-3/freienhof-thun-ag;033 227 50 50;;;Freienhofgasse 3, 3600 Thun
Gasthaus Krone Speicher;https://tel.search.ch/speicher/hauptstrasse-34/gasthaus-krone-speicher;071 343 67 00;;;Hauptstrasse 34, 9042 Speicher/AR
Hotel Newstar;https://tel.search.ch/st-gallen/breitfeldstrasse-9/hotel-newstar;071 230 20 20;;;Breitfeldstrasse 9, 9015 St. Gallen
Kronenhof Grand Hotel;https://tel.search.ch/pontresina/via-maistra-130/kronenhof-grand-hotel;081 830 30 30 *;;;Via Maistra 130, 7504 Pontresina/GR
SEMINARHOTEL SEEBLICK;https://tel.search.ch/emmetten/hugenstrasse-24/seminarhotel-seeblick;041 624 41 41;;;Hugenstrasse 24, 6376 Emmetten/NW
